#, trajectory num :0
830, 830, 830
1860, 1860, 1860
1860, 1860, 1860
41, 41, 41
1853, 1853, 1853
3247, 3247, 3247
991, 991, 991
5733, 5733, 5733
4779, 4779, 4779
3332, 3332, 3332
5740, 5740, 5740
1214, 1214, 1214
4886, 4886, 4886
32, 32, 32
3107, 3107, 3107
2843, 2843, 2843
1070, 1070, 1070
5909, 5909, 5909
1079, 1079, 1079
5610, 5610, 5610
5786, 5786, 5786
5610, 5610, 5610
2417, 2417, 2417
2413, 2413, 2413
#, trajectory num :1
2550, 2550, 2550
873, 873, 873
963, 963, 963
2959, 2959, 2959
5475, 5475, 5475
3573, 3573, 3573
627, 627, 627
627, 627, 627
910, 910, 910
910, 910, 910
2093, 2093, 2093
1651, 1651, 1651
5840, 5840, 5840
1410, 1410, 1410
3308, 3308, 3308
1290, 1290, 1290
1290, 1290, 1290
4080, 4080, 4080
1290, 1290, 1290
1290, 1290, 1290
1651, 1651, 1651
1290, 1290, 1290
2956, 2956, 2956
1290, 1290, 1290
#, trajectory num :2
3361, 3361, 3361
259, 259, 259
627, 627, 627
910, 910, 910
1773, 1773, 1773
5050, 5050, 5050
1651, 1651, 1651
4422, 4422, 4422
5050, 5050, 5050
648, 648, 648
3576, 3576, 3576
647, 647, 647
4422, 4422, 4422
2251, 2251, 2251
4419, 4419, 4419
4419, 4419, 4419
4755, 4755, 4755
4755, 4755, 4755
4324, 4324, 4324
4324, 4324, 4324
611, 611, 611
12, 12, 12
4751, 4751, 4751
8, 8, 8
#, trajectory num :3
2410, 2410, 2410
5200, 5200, 5200
2425, 2425, 2425
4883, 4883, 4883
3255, 3255, 3255
484, 484, 484
5475, 5475, 5475
2864, 2864, 2864
1775, 1775, 1775
5477, 5477, 5477
1354, 1354, 1354
882, 882, 882
661, 661, 661
2885, 2885, 2885
661, 661, 661
5340, 5340, 5340
5342, 5342, 5342
5341, 5341, 5341
1002, 1002, 1002
786, 786, 786
5344, 5344, 5344
5282, 5282, 5282
1659, 1659, 1659
1353, 1353, 1353
#, trajectory num :4
2553, 2553, 2553
3869, 3869, 3869
2553, 2553, 2553
4258, 4258, 4258
3868, 3868, 3868
4317, 4317, 4317
422, 422, 422
4261, 4261, 4261
4298, 4298, 4298
4195, 4195, 4195
218, 218, 218
304, 304, 304
2615, 2615, 2615
490, 490, 490
2303, 2303, 2303
4258, 4258, 4258
4195, 4195, 4195
3784, 3784, 3784
4263, 4263, 4263
5843, 5843, 5843
5843, 5843, 5843
5843, 5843, 5843
5150, 5150, 5150
5150, 5150, 5150
#, trajectory num :5
2674, 2674, 2674
2547, 2547, 2547
2352, 2352, 2352
2352, 2352, 2352
4292, 4292, 4292
2677, 2677, 2677
4296, 4296, 4296
2766, 2766, 2766
5483, 5483, 5483
5245, 5245, 5245
2092, 2092, 2092
3175, 3175, 3175
3567, 3567, 3567
2982, 2982, 2982
3099, 3099, 3099
4631, 4631, 4631
3106, 3106, 3106
5354, 5354, 5354
3479, 3479, 3479
2157, 2157, 2157
1519, 1519, 1519
2594, 2594, 2594
3100, 3100, 3100
3463, 3463, 3463
#, trajectory num :6
2429, 2429, 2429
5910, 5910, 5910
2417, 2417, 2417
1730, 1730, 1730
2859, 2859, 2859
2410, 2410, 2410
1850, 1850, 1850
3026, 3026, 3026
3026, 3026, 3026
2821, 2821, 2821
2822, 2822, 2822
5338, 5338, 5338
5338, 5338, 5338
5338, 5338, 5338
189, 189, 189
5338, 5338, 5338
6019, 6019, 6019
2255, 2255, 2255
6019, 6019, 6019
5854, 5854, 5854
3869, 3869, 3869
2553, 2553, 2553
3266, 3266, 3266
5869, 5869, 5869
#, trajectory num :7
3367, 3367, 3367
2238, 2238, 2238
2213, 2213, 2213
1474, 1474, 1474
2238, 2238, 2238
2507, 2507, 2507
2507, 2507, 2507
2259, 2259, 2259
2634, 2634, 2634
2634, 2634, 2634
2634, 2634, 2634
3001, 3001, 3001
667, 667, 667
667, 667, 667
2095, 2095, 2095
2095, 2095, 2095
5800, 5800, 5800
2094, 2094, 2094
3576, 3576, 3576
2935, 2935, 2935
1651, 1651, 1651
648, 648, 648
5050, 5050, 5050
4421, 4421, 4421
#, trajectory num :8
432, 432, 432
432, 432, 432
432, 432, 432
432, 432, 432
432, 432, 432
432, 432, 432
6016, 6016, 6016
250, 250, 250
4656, 4656, 4656
4818, 4818, 4818
2260, 2260, 2260
2531, 2531, 2531
2534, 2534, 2534
2119, 2119, 2119
2119, 2119, 2119
191, 191, 191
5338, 5338, 5338
5434, 5434, 5434
5434, 5434, 5434
2778, 2778, 2778
5577, 5577, 5577
2530, 2530, 2530
5576, 5576, 5576
185, 185, 185
#, trajectory num :9
2645, 2645, 2645
5908, 5908, 5908
2882, 2882, 2882
1017, 1017, 1017
1322, 1322, 1322
1745, 1745, 1745
3450, 3450, 3450
5456, 5456, 5456
1761, 1761, 1761
1761, 1761, 1761
1017, 1017, 1017
1761, 1761, 1761
661, 661, 661
5343, 5343, 5343
2864, 2864, 2864
1142, 1142, 1142
1654, 1654, 1654
1001, 1001, 1001
770, 770, 770
2550, 2550, 2550
2550, 2550, 2550
2550, 2550, 2550
2550, 2550, 2550
833, 833, 833
#, trajectory num :10
1001, 1001, 1001
767, 767, 767
1775, 1775, 1775
1017, 1017, 1017
3900, 3900, 3900
29, 29, 29
3438, 3438, 3438
1254, 1254, 1254
570, 570, 570
3225, 3225, 3225
877, 877, 877
787, 787, 787
2985, 2985, 2985
2959, 2959, 2959
586, 586, 586
873, 873, 873
2261, 2261, 2261
873, 873, 873
873, 873, 873
3895, 3895, 3895
484, 484, 484
4709, 4709, 4709
5952, 5952, 5952
873, 873, 873
#, trajectory num :11
3358, 3358, 3358
3354, 3354, 3354
1645, 1645, 1645
2582, 2582, 2582
2217, 2217, 2217
5023, 5023, 5023
3824, 3824, 3824
3310, 3310, 3310
3352, 3352, 3352
3312, 3312, 3312
192, 192, 192
5576, 5576, 5576
5338, 5338, 5338
5338, 5338, 5338
5338, 5338, 5338
6020, 6020, 6020
3026, 3026, 3026
6016, 6016, 6016
5338, 5338, 5338
3026, 3026, 3026
3026, 3026, 3026
3026, 3026, 3026
3026, 3026, 3026
5338, 5338, 5338
#, trajectory num :12
2550, 2550, 2550
5559, 5559, 5559
833, 833, 833
2066, 2066, 2066
1854, 1854, 1854
2066, 2066, 2066
5859, 5859, 5859
5859, 5859, 5859
963, 963, 963
5856, 5856, 5856
2832, 2832, 2832
1271, 1271, 1271
3226, 3226, 3226
2959, 2959, 2959
2980, 2980, 2980
569, 569, 569
3438, 3438, 3438
570, 570, 570
689, 689, 689
2960, 2960, 2960
3117, 3117, 3117
878, 878, 878
791, 791, 791
3225, 3225, 3225
#, trajectory num :13
1089, 1089, 1089
3317, 3317, 3317
4048, 4048, 4048
5952, 5952, 5952
5954, 5954, 5954
3317, 3317, 3317
1584, 1584, 1584
3335, 3335, 3335
3335, 3335, 3335
837, 837, 837
1427, 1427, 1427
1427, 1427, 1427
1537, 1537, 1537
5714, 5714, 5714
3150, 3150, 3150
5713, 5713, 5713
5713, 5713, 5713
667, 667, 667
3089, 3089, 3089
3089, 3089, 3089
5081, 5081, 5081
1774, 1774, 1774
1776, 1776, 1776
1774, 1774, 1774
#, trajectory num :14
5592, 5592, 5592
4862, 4862, 4862
5867, 5867, 5867
5852, 5852, 5852
1451, 1451, 1451
5149, 5149, 5149
5847, 5847, 5847
5847, 5847, 5847
5847, 5847, 5847
2507, 2507, 2507
2507, 2507, 2507
4283, 4283, 4283
314, 314, 314
4262, 4262, 4262
4262, 4262, 4262
4261, 4261, 4261
4473, 4473, 4473
4206, 4206, 4206
199, 199, 199
4132, 4132, 4132
4292, 4292, 4292
4292, 4292, 4292
4293, 4293, 4293
2352, 2352, 2352
